id,name,category,location,status,type,notes,created_at,updated_at,added_by,last_borrowed_by,last_borrowed_at,last_returned_at,brand,model,serial_number,material,dimensions,license_plate,vehicle_type,year,month,stnk_year,stnk_month,mileage,fuel_type,capacity,room_size,floor,facilities
AST-A4508EB9,Kamar 101,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-B1F4017B,Kamar 102,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-E08F7AA0,Kamar 103,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-B49392FA,Kamar 104,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-44C21651,Kamar 105,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-E880B32C,Kamar 106,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-06218F47,Kamar 107,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-CB465047,Kamar 108,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-F495CBA0,Kamar 109,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-0595ACE4,Kamar 110,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,3,,,"3 Bed, 3 Meja dan Kursi Belajar, 3 Lemari Toilet dan Kamar Mandi"
AST-56132C15,kamar 211,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-BAE10D93,Kamar 212,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-DCD5D28D,kamar 213,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-B21554F9,kamar 214,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-FCA0D902,kamar 215,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-8F84CA56,kamar 216,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-46DB3891,kamar 217,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
AST-1A7BF50F,kamar 218,Asrama,PPKASN,tersedia,asrama,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,Admin,,,,,,,,,,,,,,,,,2,,,"2 Bed, 1 Meja Rias, 1 Meja Tamu, 3 Lemari, Televisi, Toilet dan Kamar Mandi"
